id,texto_relato,natureza,bairro,turno,dia_semana,houve_violencia,valor_prejuizo_reais,idade_vitima,reincidencia
21,"VITIMA NAO RETORNOU PARA CASA APOS SAIR PARA TRABALHAR, FAMILIA REGISTRA DESAPARECIMENTO",Pessoa   Desaparecida ,Sobradinho,Tarde,Segunda,False,0.0,78.0,False
22,  COMUNICANTE RELATA AGRESSAO POR PARTE DE COMPANHEIRO DENTRO DE CASA  ,Violencia Domestica,Ceilândia,Tarde,Segunda,False,0.0,63.0,False
23,Vitima informa que foi abordada por individuo armado que levou notebook em via publica	,  ROUBO  ,Gama,Noite,Quarta,False,1686.65,59.0,False
24,"VITIMA NAO RETORNOU PARA CASA APOS SAIR PARA TRABALHAR, FAMILIA REGISTRA DESAPARECIMENTO",Pessoa Desaparecida,Taguatinga,Manhã,Segunda,False,0.0,41.0,False
25,Comunicante relata ter sido agredido fisicamente durante discussao proximo a residencia	,Lesao   Corporal ,Asa Sul,Madrugada,Domingo,True,0.0,5.0,False
26,  VITIMA RELATA TER CAIDO EM GOLPE DE VENDA FALSA PELA INTERNET E PERDIDO VEICULO  ,Estelionato,Ceilândia,Noite,Segunda,False,350000.0,71.0,False
27,Comunicante   relata   que seu veiculo foi danificado em frente a escola,  DANO AO PATRIMONIO  ,Asa Norte,Noite,Quarta,True,857.42,60.0,False
28,   Comunicante relata desaparecimento de familiar desde o dia anterior   ,Pessoa Desaparecida,Samambaia,Madrugada,Sábado,False,0.0,49.0,False
29,VITIMA RELATA TER CAIDO EM GOLPE DE VENDA FALSA PELA INTERNET E PERDIDO CARTEIRA,ESTELIONATO,Planaltina,Noite,Sexta,False,310.93,59.0,False
30,Comunicante relata ter recebido ameacas de morte por aplicativo de mensagens	,Ameaca,Asa Norte,Madrugada,Quarta,True,0.0,69.0,False
31,Comunicante   relata   movimentacao suspeita associada a trafico de drogas dentro do onibus,   Trafico de Drogas   ,Ceilândia,Madrugada,Quinta,True,0.0,70.0,False
32,Comunicante   relata   movimentacao suspeita associada a trafico de drogas no estacionamento do shopping,Trafico de Drogas,Asa Sul,Manhã,Sexta,False,0.0,39.0,True
33,VITIMA PROCUROU A DELEGACIA APOS SOFRER AGRESSAO FISICA DE CONHECIDO,   Lesao Corporal   ,Asa Norte,Madrugada,Segunda,True,0.0,37.0,True
34,VITIMA INFORMA QUE FOI ABORDADA POR INDIVIDUO ARMADO QUE LEVOU NOTEBOOK NA PARADA DE ONIBUS,Roubo,Águas Claras,Noite,Quarta,True,1516.84,74.0,False
35,Comunicante   relata   que seu veiculo foi danificado na feira livre,DANO AO PATRIMONIO,Ceilândia,Noite,Terça,False,800.88,44.0,False
36,   Comunicante relata que seu veiculo foi danificado na parada de onibus   ,Dano ao Patrimonio,Asa Sul,Manhã,Terça,False,1525.12,46.0,False
37,   Comunicante relata ter sido rendido e ter notebook levado no estacionamento do shopping   ,Roubo ,Asa Norte,Manhã,Domingo,True,3138.41,22.0,False
38,Comunicante relata som alto excessivo vindo de imovel vizinho na feira livre	,Perturbacao do Sossego,Guará,Madrugada,Segunda,False,0.0,48.0,False
39,   Vitima informa que janela de sua residencia foi quebrada durante a madrugada   ,   Dano ao Patrimonio   ,Samambaia,Manhã,Segunda,False,544.11,,False
40,Comunicante   relata   ter recebido ameacas de morte por aplicativo de mensagens,Ameaca,Sobradinho,Manhã,Terça,False,0.0,26.0,False
