id,texto_relato,natureza,bairro,turno,dia_semana,houve_violencia,valor_prejuizo_reais,idade_vitima,reincidencia
25,comunicante relata ter sido agredido fisicamente durante discussao proximo a residencia,Lesao   Corporal ,Asa Sul,Madrugada,Domingo,True,0.0,5.0,False
26,vitima relata ter caido em golpe de venda falsa pela internet e perdido veiculo,Estelionato,Ceilândia,Noite,Segunda,False,350000.0,71.0,False
27,comunicante   relata   que seu veiculo foi danificado em frente a escola,  DANO AO PATRIMONIO  ,Asa Norte,Noite,Quarta,True,857.42,60.0,False
28,comunicante relata desaparecimento de familiar desde o dia anterior,Pessoa Desaparecida,Samambaia,Madrugada,Sábado,False,0.0,49.0,False
29,vitima relata ter caido em golpe de venda falsa pela internet e perdido carteira,ESTELIONATO,Planaltina,Noite,Sexta,False,310.93,59.0,False
30,comunicante relata ter recebido ameacas de morte por aplicativo de mensagens,Ameaca,Asa Norte,Madrugada,Quarta,True,0.0,69.0,False
31,comunicante   relata   movimentacao suspeita associada a trafico de drogas dentro do onibus,   Trafico de Drogas   ,Ceilândia,Madrugada,Quinta,True,0.0,70.0,False
32,comunicante   relata   movimentacao suspeita associada a trafico de drogas no estacionamento do shopping,Trafico de Drogas,Asa Sul,Manhã,Sexta,False,0.0,39.0,True
33,vitima procurou a delegacia apos sofrer agressao fisica de conhecido,   Lesao Corporal   ,Asa Norte,Madrugada,Segunda,True,0.0,37.0,True
34,vitima informa que foi abordada por individuo armado que levou notebook na parada de onibus,Roubo,Águas Claras,Noite,Quarta,True,1516.84,74.0,False
35,comunicante   relata   que seu veiculo foi danificado na feira livre,DANO AO PATRIMONIO,Ceilândia,Noite,Terça,False,800.88,44.0,False
36,comunicante relata que seu veiculo foi danificado na parada de onibus,Dano ao Patrimonio,Asa Sul,Manhã,Terça,False,1525.12,46.0,False
37,comunicante relata ter sido rendido e ter notebook levado no estacionamento do shopping,Roubo ,Asa Norte,Manhã,Domingo,True,3138.41,22.0,False
38,comunicante relata som alto excessivo vindo de imovel vizinho na feira livre,Perturbacao do Sossego,Guará,Madrugada,Segunda,False,0.0,48.0,False
39,vitima informa que janela de sua residencia foi quebrada durante a madrugada,   Dano ao Patrimonio   ,Samambaia,Manhã,Segunda,False,544.11,,False
40,comunicante   relata   ter recebido ameacas de morte por aplicativo de mensagens,Ameaca,Sobradinho,Manhã,Terça,False,0.0,26.0,False
